,week,dept,sales,IsHoliday,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Temperature,Fuel_Price,CPI,Unemployment,Next week
286551,2010-05-02,16,974.31,0,0.0,0.0,0.0,0.0,0.0,39.05,2.572,210.75260530000003,8.324,
286634,2010-12-02,16,1434.73,1,0.0,0.0,0.0,0.0,0.0,37.77,2.548,210.8979935,8.324,
286688,2010-02-19,16,1288.46,0,0.0,0.0,0.0,0.0,0.0,39.75,2.5140000000000002,210.9451605,8.324,
286730,2010-02-26,16,1288.44,0,0.0,0.0,0.0,0.0,0.0,45.31,2.5610000000000004,210.97595730000003,8.324,
286758,2010-05-03,16,1730.18,0,0.0,0.0,0.0,0.0,0.0,48.61,2.625,211.0067542,8.324,
286825,2010-12-03,16,1409.5,0,0.0,0.0,0.0,0.0,0.0,57.1,2.667,211.03755099999998,8.324,
286874,2010-03-19,16,2180.46,0,0.0,0.0,0.0,0.0,0.0,54.68,2.72,210.8733316,8.324,
286905,2010-03-26,16,1343.85,0,0.0,0.0,0.0,0.0,0.0,51.66,2.7319999999999998,210.6766095,8.324,
286959,2010-02-04,16,2397.65,0,0.0,0.0,0.0,0.0,0.0,64.12,2.719,210.4798874,8.2,
287004,2010-09-04,16,2462.73,0,0.0,0.0,0.0,0.0,0.0,65.74,2.77,210.2831653,8.2,
287055,2010-04-16,16,2301.3,0,0.0,0.0,0.0,0.0,0.0,67.87,2.8080000000000003,210.1495463,8.2,
287109,2010-04-23,16,1184.01,0,0.0,0.0,0.0,0.0,0.0,64.21,2.795,210.1000648,8.2,
287155,2010-04-30,16,2329.92,0,0.0,0.0,0.0,0.0,0.0,66.93,2.78,210.0505833,8.2,
287232,2010-07-05,16,2260.44,0,0.0,0.0,0.0,0.0,0.0,70.87,2.835,210.00110180000001,8.2,
287264,2010-05-14,16,2447.58,0,0.0,0.0,0.0,0.0,0.0,73.08,2.8539999999999996,209.9984585,8.2,
287342,2010-05-21,16,2987.19,0,0.0,0.0,0.0,0.0,0.0,74.24,2.826,210.2768443,8.2,
287366,2010-05-28,16,2853.52,0,0.0,0.0,0.0,0.0,0.0,80.94,2.759,210.5552301,8.2,
287422,2010-04-06,16,3943.97,0,0.0,0.0,0.0,0.0,0.0,82.68,2.705,210.833616,8.2,
287487,2010-11-06,16,2486.9,0,0.0,0.0,0.0,0.0,0.0,83.51,2.668,211.1120018,8.2,
287531,2010-06-18,16,2458.88,0,0.0,0.0,0.0,0.0,0.0,86.18,2.637,211.10965430000002,8.2,
287561,2010-06-25,16,3089.53,0,0.0,0.0,0.0,0.0,0.0,87.01,2.653,210.9950134,8.2,
287596,2010-02-07,16,2625.46,0,0.0,0.0,0.0,0.0,0.0,82.29,2.6689999999999996,210.8803726,8.099,
287646,2010-09-07,16,2920.56,0,0.0,0.0,0.0,0.0,0.0,81.67,2.642,210.76573169999998,8.099,
287722,2010-07-16,16,2298.0,0,0.0,0.0,0.0,0.0,0.0,85.61,2.623,210.7577954,8.099,
287771,2010-07-23,16,2150.73,0,0.0,0.0,0.0,0.0,0.0,87.17,2.608,210.8921319,8.099,
287820,2010-07-30,16,2097.23,0,0.0,0.0,0.0,0.0,0.0,83.59,2.64,211.0264684,8.099,
287869,2010-06-08,16,2226.68,0,0.0,0.0,0.0,0.0,0.0,90.3,2.627,211.16080490000002,8.099,
287900,2010-08-13,16,2196.03,0,0.0,0.0,0.0,0.0,0.0,89.65,2.6919999999999997,211.2951413,8.099,
287958,2010-08-20,16,2115.42,0,0.0,0.0,0.0,0.0,0.0,89.58,2.6639999999999997,211.25965860000002,8.099,
287998,2010-08-27,16,1898.23,0,0.0,0.0,0.0,0.0,0.0,86.2,2.6189999999999998,211.2241759,8.099,
288048,2010-03-09,16,2102.31,0,0.0,0.0,0.0,0.0,0.0,82.57,2.577,211.1886931,8.099,
288100,2010-10-09,16,2240.55,1,0.0,0.0,0.0,0.0,0.0,79.3,2.565,211.15321040000003,8.099,
288145,2010-09-17,16,1624.77,0,0.0,0.0,0.0,0.0,0.0,83.03,2.582,211.1806415,8.099,
288201,2010-09-24,16,1446.04,0,0.0,0.0,0.0,0.0,0.0,80.79,2.6239999999999997,211.2552578,8.099,
288243,2010-01-10,16,1269.97,0,0.0,0.0,0.0,0.0,0.0,70.28,2.603,211.3298742,8.163,
288287,2010-08-10,16,1981.97,0,0.0,0.0,0.0,0.0,0.0,65.76,2.633,211.4044906,8.163,
288324,2010-10-15,16,1529.44,0,0.0,0.0,0.0,0.0,0.0,68.61,2.72,211.4713286,8.163,
288397,2010-10-22,16,1358.0,0,0.0,0.0,0.0,0.0,0.0,70.72,2.725,211.5187208,8.163,
288463,2010-10-29,16,1524.94,0,0.0,0.0,0.0,0.0,0.0,67.51,2.716,211.5661131,8.163,
