week,Temperature,Fuel_Price,CPI,Unemployment,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,oosInd,holInd,promoInd1,promoInd2,promoInd3,promoInd4,promoInd5,sales,woy,month,year,corrected_Temperature,corrected_Fuel_Price,corrected_CPI,corrected_Unemployment,temperature_class,fuel_price_class,cpi_class,unemployment_class,meanSlsPerTmpClass,meanSlsPerFPClass,meanSlsPerCPIClass,meanSlsPerUnemplClass,meanSlsPerWoY,meanSlsPerMonth,medianSlsPerTmpClass,medianSlsPerFPClass,medianSlsPerCPIClass,medianSlsPerUnemplClass,medianSlsPerWoY,medianSlsPerMonth,stdSlsPerTmpClass,stdSlsPerFPClass,stdSlsPerCPIClass,stdSlsPerUnemplClass,stdSlsPerWoY,stdSlsPerMonth,varSlsPerTmpClass,varSlsPerFPClass,varSlsPerCPIClass,varSlsPerUnemplClass,varSlsPerWoY,varSlsPerMonth,madSlsPerTmpClass,madSlsPerFPClass,madSlsPerCPIClass,madSlsPerUnemplClass,madSlsPerWoY,madSlsPerMonth,maxSlsPerTmpClass,maxSlsPerFPClass,maxSlsPerCPIClass,maxSlsPerUnemplClass,maxSlsPerWoY,maxSlsPerMonth,minSlsPerTmpClass,minSlsPerFPClass,minSlsPerCPIClass,minSlsPerUnemplClass,minSlsPerWoY,minSlsPerMonth,sma,cma,ema,momentum,norm,kurtosis,skew
2010-01-04,70.28,2.603,211.3298742,8.163,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,755.67,1,1,2010,70.28,2.603,211.3298742,8.163,1,0,0,2,822.1814545061109,790.9696404652833,801.5076067638931,793.7454490390508,967.1800000000001,832.4908727121866,759.8047480825701,755.67,755.67,755.67,967.1800000000001,755.67,294.4496317313015,257.75762263790534,255.73862137196014,257.4040726753732,299.12031057753336,151.6790713878669,86700.58562669909,66438.99202794483,65402.24246123078,66256.85662986881,89472.96020000002,23006.540697085627,208.16867162835516,180.28287108330522,180.13362006282682,179.69669123029678,211.51000000000005,110.21005250513778,1882.22,1810.67,1810.67,1810.67,1178.69,1178.69,377.6,381.6,381.6,381.6,755.67,718.93,755.67,755.67,755.67,1.0,0.4014780418867082,0.0,0.0
2010-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,755.67,2,1,2010,70.28,2.603,211.3298742,8.163,1,0,0,2,822.1814545061109,790.9696404652833,801.5076067638931,793.7454490390508,737.3,832.4908727121866,759.8047480825701,755.67,755.67,755.67,737.3,755.67,294.4496317313015,257.75762263790534,255.73862137196014,257.4040726753732,25.979103140793764,151.6790713878669,86700.58562669909,66438.99202794483,65402.24246123078,66256.85662986881,674.9138000000004,23006.540697085627,208.16867162835516,180.28287108330522,180.13362006282682,179.69669123029678,18.370000000000005,110.21005250513778,1882.22,1810.67,1810.67,1810.67,755.67,1178.69,377.6,381.6,381.6,381.6,718.93,718.93,755.67,755.67,755.67,1.0,0.4014780418867082,0.0,0.0
2010-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,755.67,3,1,2010,70.28,2.603,211.3298742,8.163,1,0,0,2,822.1814545061109,790.9696404652833,801.5076067638931,793.7454490390508,868.335,832.4908727121866,759.8047480825701,755.67,755.67,755.67,868.335,755.67,294.4496317313015,257.75762263790534,255.73862137196014,257.4040726753732,159.33237100476475,151.6790713878669,86700.58562669909,66438.99202794483,65402.24246123078,66256.85662986881,25386.804449999996,23006.540697085627,208.16867162835516,180.28287108330522,180.13362006282682,179.69669123029678,112.66500000000002,110.21005250513778,1882.22,1810.67,1810.67,1810.67,981.0,1178.69,377.6,381.6,381.6,381.6,755.67,718.93,755.67,755.67,755.67,1.0,0.4014780418867082,0.0,0.0
2010-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,755.67,4,1,2010,70.28,2.603,211.3298742,8.163,1,0,0,2,822.1814545061109,790.9696404652833,801.5076067638931,793.7454490390508,756.53,832.4908727121866,759.8047480825701,755.67,755.67,755.67,756.53,755.67,294.4496317313015,257.75762263790534,255.73862137196014,257.4040726753732,1.216223663640881,151.6790713878669,86700.58562669909,66438.99202794483,65402.24246123078,66256.85662986881,1.479200000000047,23006.540697085627,208.16867162835516,180.28287108330522,180.13362006282682,179.69669123029678,0.8600000000000136,110.21005250513778,1882.22,1810.67,1810.67,1810.67,757.39,1178.69,377.6,381.6,381.6,381.6,755.67,718.93,755.67,755.67,755.67,1.0,0.4014780418867082,0.0,0.0
2010-02-01,73.20500000000001,2.694,210.68013,8.1495,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1345.61,5,2,2010,73.20500000000001,2.694,210.68013,8.1495,1,0,0,2,822.1814545061109,790.9696404652833,801.5076067638931,793.7454490390508,1089.66892720484,1013.8326567982957,759.8047480825701,755.67,755.67,755.67,1089.66892720484,890.875,294.4496317313015,257.75762263790534,255.73862137196014,257.4040726753732,361.9553363152349,415.08686860694854,86700.58562669909,66438.99202794483,65402.24246123078,66256.85662986881,131011.66548707479,172297.10848992216,208.16867162835516,180.28287108330522,180.13362006282682,179.69669123029678,255.94107279515998,300.04117160085207,1882.22,1810.67,1810.67,1810.67,1345.61,1882.22,377.6,381.6,381.6,381.6,833.7278544096799,571.21,903.155,873.658,814.664,1.7806846904071882,0.7149058027223172,4.999999999999991,2.2360679774997885
2010-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,969.301254386366,6,2,2010,71.33921375188119,2.6359533164074866,211.09458601661362,8.158111321312738,1,0,0,2,822.1814545061109,790.9696404652833,801.5076067638931,793.7454490390508,1425.7606271931832,1013.8326567982957,759.8047480825701,755.67,755.67,755.67,1425.7606271931832,890.875,294.4496317313015,257.75762263790534,255.73862137196014,257.4040726753732,645.5310356957173,415.08686860694854,86700.58562669909,66438.99202794483,65402.24246123078,66256.85662986881,416710.31804638536,172297.10848992216,208.16867162835516,180.28287108330522,180.13362006282682,179.69669123029678,456.459372806817,300.04117160085207,1882.22,1810.67,1810.67,1810.67,1882.22,1882.22,377.6,381.6,381.6,381.6,969.301254386366,571.21,956.5628135965915,889.5985423977277,830.1277254386366,0.7203433791264676,0.5149776616901138,3.282307203658899,1.8794041504094128
2010-02-15,39.75,2.514,210.9451605,8.324,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,864.82,7,2,2010,39.75,2.514,210.9451605,8.324,0,0,0,2,890.0408986817838,790.9696404652833,801.5076067638931,793.7454490390508,802.165,1013.8326567982957,817.7039868178383,755.67,755.67,755.67,802.165,890.875,345.6253396347606,257.75762263790534,255.73862137196014,257.4040726753732,88.60755075048627,415.08686860694854,119456.87539764361,66438.99202794483,65402.24246123078,66256.85662986881,7851.29805,172297.10848992216,242.48337092275128,180.28287108330522,180.13362006282682,179.69669123029678,62.65500000000003,300.04117160085207,1810.67,1810.67,1810.67,1810.67,864.82,1882.22,348.64,381.6,381.6,381.6,739.51,571.21,983.8503135965915,886.0587506266237,833.5969528947729,0.8922097192038508,0.4594680749327921,3.9701764895040714,1.9839356481886083
2010-02-22,45.31,2.5610000000000004,210.97595730000003,8.324,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,916.93,8,2,2010,45.31,2.5610000000000004,210.97595730000003,8.324,0,0,0,2,890.0408986817838,790.9696404652833,801.5076067638931,793.7454490390508,868.9949999999999,1013.8326567982957,817.7039868178383,755.67,755.67,755.67,868.9949999999999,890.875,345.6253396347606,257.75762263790534,255.73862137196014,257.4040726753732,67.79032711235428,415.08686860694854,119456.87539764361,66438.99202794483,65402.24246123078,66256.85662986881,4595.528449999995,172297.10848992216,242.48337092275128,180.28287108330522,180.13362006282682,179.69669123029678,47.935,300.04117160085207,1810.67,1810.67,1810.67,1810.67,916.93,1882.22,348.64,381.6,381.6,381.6,821.06,571.21,1024.1653135965914,889.9176567982958,841.9302576052957,1.0602553132443744,0.48715346771365725,4.142574203368143,1.956462878903046
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,927.0424955647272,9,3,2010,54.985037007155,2.581776712754726,211.01880417145406,8.254239863810042,1,0,0,2,822.1814545061109,790.9696404652833,801.5076067638931,793.7454490390508,749.1262477823636,803.7056437473898,759.8047480825701,755.67,755.67,755.67,749.1262477823636,769.81,294.4496317313015,257.75762263790534,255.73862137196014,257.4040726753732,251.6115705803507,257.1409700604266,86700.58562669909,66438.99202794483,65402.24246123078,66256.85662986881,63308.3824499108,66121.4784836172,208.16867162835516,180.28287108330522,180.13362006282682,179.69669123029678,177.9162477823636,178.2387641283042,1882.22,1810.67,1810.67,1810.67,927.0424955647272,1337.0,377.6,381.6,381.6,381.6,571.21,461.05,919.5234374877734,894.0426388834547,850.4414814012389,1.0110286451143786,0.49252611042531014,4.293667501989036,1.9214418736152123
2010-03-08,66.5,2.6425,211.22711805,8.131,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,927.0425603159828,10,3,2010,66.5,2.6425,211.22711805,8.131,1,0,0,2,822.1814545061109,790.9696404652833,801.5076067638931,793.7454490390508,876.4272590011003,803.7056437473898,759.8047480825701,755.67,755.67,755.67,876.4272590011003,769.81,294.4496317313015,257.75762263790534,255.73862137196014,257.4040726753732,71.5808455831074,257.1409700604266,86700.58562669909,66438.99202794483,65402.24246123078,66256.85662986881,5123.817454392666,66121.4784836172,208.16867162835516,180.28287108330522,180.13362006282682,179.69669123029678,50.6153013148824,178.2387641283042,1882.22,1810.67,1810.67,1810.67,927.0425603159828,1337.0,377.6,381.6,381.6,381.6,825.811957686218,461.05,908.9587639701775,897.3426310267075,858.1015892927132,1.0000000698471276,0.49252614482684426,4.517260526567278,1.9032069315465687
